,title,price,like,view,article,category,location,link
10,갤럭시 워치 4 44mm 미개봉,"200,000",1,39,미개봉 44mm 블랙 색상입니다,웨어러블(워치),전국,https://m.bunjang.co.kr/products/192111114?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
11,갤럭시 워치3,"105,000",2,51,"착용하지 안아서 판매합니다
궁금한 점은 문자주세요",웨어러블(워치),경기도 김포시 통진읍,https://m.bunjang.co.kr/products/192025360?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
12,갤럭시 워치4 스트랩,"8,000",3,135,개당8000원에 팔아요 일괄구매시 배송비 부담해드려요,웨어러블(워치),전라북도 김제시 요촌동,https://m.bunjang.co.kr/products/192308246?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
13,갤럭시 워치 액티브2 40mm 블루투스 클라우드실버,"100,000",6,239,"구입시기는 작년 10월경입니다
구성품은 본체 + 충전기선
시계줄 3종(블랙 화이트 실버)
본체보호케이스 + 액정필름2장

구입할 때는 실버스트랩 끼워져 있었고 사용은 실버로만 가끔 사용했습니다!

기스는 안 보이고 미세기스도 찾아봤는데 잘 안 보여요! 그렇다고 미세기스 있어서 환불받겠다 하실 분이면 직거래합시당
상품 받자마자 불량 확인하고 액정필름 붙였습니다 정상적으로 작동하고 수면리듬이나 티머니도 해봤는데 잘 되요

서수원 홈플러스 직거래 선호합니다",웨어러블(워치),경기도 수원시 권선구 금곡동,https://m.bunjang.co.kr/products/182374805?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
14,갤럭시워치4  미개봉 14만원에 삽니다,"150,000",2,274,갤럭시워치4  미개봉 14만원에 삽니다,웨어러블(워치),경기도 평택시 서정동,https://m.bunjang.co.kr/products/191415429?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
15,갤럭시 워치4 블랙 미개봉 40mm 와이파이전용,"170,000",5,60,"갤럭시 워치 블랙 40mm 미개봉 상품입니다
네고 불가 만나서 직접 전달 선호 합니다
택배도 가능",웨어러블(워치),경기도 화성시 동탄6동,https://m.bunjang.co.kr/products/192235416?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
16,갤럭시 워치4 클래식 실버 미개봉 구합니다!!,"1,110",0,114,미개봉 제품구하고잇습니다. 가격은 조율가능하구요!! 직거래원합니다! 지역은 전북 익산입니다.,웨어러블(워치),전라북도 익산시 영등1동,https://m.bunjang.co.kr/products/192158929?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
17,갤럭시 워치4 클래식 42m 삽니다!! 미개봉!!,"200,000",0,91,미개봉 제품구하고잇습니다. 가격은 조율가능하구요!! 직거래원합니다! 지역은 전북 익산입니다.,웨어러블(워치),전라북도 익산시 영등1동,https://m.bunjang.co.kr/products/191692447?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
18,갤럭시워치4 클래식 46mm삽니다,"200,000",1,226,깨끗한상품구해봅니다 필름 케이스까지 씌어있음 더좋구요,웨어러블(워치),대구광역시 북구 동천동,https://m.bunjang.co.kr/products/192198584?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
19,갤럭시 워치4 44mm,"150,000",1,43,"갤럭시 워치4 44mm 실버 입니다.

한달정도 가끔 사용했는데 왼쪽에 스크래치 조금 있습니다.
화면 스크래치 빼고는 매우 상태 좋습니다

박스 원하시면 같이 드립니다.

스트랩은 하나당 만이만원 하시는거 아실겁니다!

쿨거래시 스트랩도 함께 드리려고 합니다",웨어러블(워치),서울특별시 성북구 동선동,https://m.bunjang.co.kr/products/192186579?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
20,갤럭시 워치4 클래식 46mm 블랙 미개봉 팝니다,"185,000",3,359,"지역 여수입니다
여자친구랑 샀는데 개인사정으로 판매해요
한대남았습니다
갤럭시 워치 4 클래식 46mm 블랙 미개봉 팝니다
Wifi 및 블루투스 전용 입니다
제조 22.01",웨어러블(워치),전라남도 여수시 소라면,https://m.bunjang.co.kr/products/192133222?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
21,갤럭시  워치4  44mm,"200,000",7,300,"박스 없음 작동 잘됨
잘사용하지 않아 팝니다",웨어러블(워치),서울특별시 양천구 신월4동,https://m.bunjang.co.kr/products/183628834?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
22,갤럭시워치4 40mm 블루투스 판매합니다,"100,000",6,249,"생활찍힘 기스 조금있구요 쓰는데 지장없습니다.

박스랑 기본 스트랩은 없구요 정품 충전기도없는데

따로구매한 충전기는 같이 드립니다.

연락주세요

직거래는 근처만합니다.",웨어러블(워치),충청남도 금산군 금산읍,https://m.bunjang.co.kr/products/192141170?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
23,안전 갤럭시 워치3 GPS+셀룰러 45M 미스틱실버 미개봉,"180,000",4,135,"R845 미개봉 새제품  
네고는 사양할게요
문의주세요~",웨어러블(워치),서울특별시 용산구 한강로동,https://m.bunjang.co.kr/products/182042609?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
24,갤럭시 워치 4클래식,"280,000",2,50,"구매 후 사용2번 정도 했습니다 
사진 보시면 깔끔합니다.",남성 시계,전국,https://m.bunjang.co.kr/products/192092025?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
25,갤럭시 워치3 블랙 45mm S급,"150,000",0,73,"갤럭시 워치3 미스틱 블랙 45mm 판매합니다

실착용 10번 미만입니다 가죽 스트랩이 접힌 것 빼면 상태 최상입니다!!

구성품은 박스 빼고 다 있어요 번톡 주세요!
쿨거시 네고 가능",웨어러블(워치),전국,https://m.bunjang.co.kr/products/166080459?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
26,갤럭시워치4 클래식 46mm 블루투스 + 악세사리,"240,000",1,108,"구매하고 몇번 안썼는데 잘 못쓰겠어서 정리합니다ㅠㅠ

필름돼있고, 기기상태도 아주 좋습니다.

필름 남은것 같이 드리고,

시계 테두리 커버, 스트랩 함께드립니다.

실제로 보시면 더 예쁩니다^^

문의주세용 ~!",웨어러블(워치),서울특별시 성동구 성수2가제3동,https://m.bunjang.co.kr/products/192051283?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
27,갤럭시워치4 40MM 블랙 미개봉,"180,000",1,7,"😀필독

사진, 게시글 꼭 확인해주세요!

사진의 빛은 매장 조명 불빛입니다!

(부산광역시 범일로102번길 14)

매장방문 환영합니다. 

방문전에 찾으시는 상품 문의 주시면 좀 더 수월하게 구매가능하십니다
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
 
- 0 1 0 2 9 7 0 7 8 0 0 -

업무상 전화를 못 받을시

문자로 문의 주시면 최대한 빨리 응답해 드리겠습니다

😐상품설명

❣ 모델명 : 갤럭시워치4 40MM
❣ 용량 : 16GB
❣ 색상 : 블랙
❣ 구성 : 풀박스
❣ 기능 : 모든 기능 정상
❣ 잔상 : X
❣ 상태 : 미개봉
❣ 금액 : 180,000
❣ 택배 : 가능


💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥


L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다

직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능

* 오후 5시 전 입금 건 당일 택배 발송 *

🎈 월~토 

모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다

★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★

* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞",웨어러블(워치),부산광역시 동구 범일제2동,https://m.bunjang.co.kr/products/192057657?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
28,갤럭시 워치 액티브 2 (44mm),"85,000",2,153,"갤럭시 워치 액티브 2 44mm
충전기 독 포함",웨어러블(워치),강원도 원주시 행구동,https://m.bunjang.co.kr/products/191112751?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
29,갤럭시워치3 클래식 41mm,"100,000",0,59,"갤럭시워치3 클래식 41mm
+충전기
+메탈스트랩

직거래 선호합니다.
9시-16시 30분 2호선 선릉역 1번출구
18시 이후 9호선 양천향교역",웨어러블(워치),서울특별시 강서구 가양제1동,https://m.bunjang.co.kr/products/192011555?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
30,갤럭시워치 4 40미리 미개봉 실버 팝니다.,"160,000",14,193,갤럭시 워치4 미개봉 팜니다. 직거래는 의정부 용현동 입니다.,웨어러블(워치),경기도 의정부시 송산2동,https://m.bunjang.co.kr/products/192042301?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
31,갤럭시워치4 44mm,"225,000",1,10,"갤럭시워치4 블랙  44mm
아예 뜯지도 않은 미개봉새제품입니다!!
가격조정가능합니다


하지만 무리한 가격조정은 사양하겠습니다🙂",웨어러블(워치),전국,https://m.bunjang.co.kr/products/191669103?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
32,갤럭시워치 44mm 그린 삽니다,"185,000",0,27,"선물용으로 구매합니다.
미개봉 구해요",웨어러블(워치),서울특별시 종로구 창신제2동,https://m.bunjang.co.kr/products/191819957?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
33,삼성 갤럭시워치4 40mm,"120,000",1,108,"작년에 조방 앞 현백 디지털프라자에서 샀고요

밑에 작은 흠집 있습니다.",웨어러블(워치),부산광역시 남구 용호제2동,https://m.bunjang.co.kr/products/191923171?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
34,갤럭시 워치 세탁기 스탠드 새상품,"18,000",0,21,"실수로 2개를 주문하여 판매 합니다
미개봉 새상품 이에요^^
교환,환불 불가 합니다~",케이블/충전기/주변기기,울산광역시 동구 화정동,https://m.bunjang.co.kr/products/188775563?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
35,갤럭시워치 가죽 스트랩,"8,000",0,13,"제품명 : imall - 갤럭시워치 가죽 스트랩 밴드, 브라운, 22mm 
정가 : 15900

기기에 맞지 않는 사이즈로 잘못 구매하여 판매합니다.
첨부사진처럼
기어s3 / 프론티어 / 클래식
워치3 / 워치
에 해당하는 기기에 맞는 사이즈입니다!",웨어러블(워치),경기도 성남시 분당구 이매2동,https://m.bunjang.co.kr/products/191592512?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
36,갤럭시워치,"70,000",7,57,"거의 새상품입니다 착용5번 미만이에요 스트랩 새거입니다
사진에 보이시는거처럼 기스 하나 있습니다",웨어러블(워치),서울특별시 송파구 거여2동,https://m.bunjang.co.kr/products/191872792?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
37,갤럭시 워치 액티브2 44mm 스테인레스,"110,000",15,403,"액티브2 44mm 스테인레스 워치 팝니다.
블루투스 모델이며 실사용 얼마 안됩니다.
가죽 스트랩은 사용감 있으며 실리콘  스트랩 한나 추가 했습니다.
워치 자체는 최상급 이며 블랙 스테인레스 입니다.
지역은 평일 안성공도 주말은 토요일 저녁부터 일요일 까지는 안산 성포동 주변에서 직거래 가능 합니다.
택배 가능",웨어러블(워치),경기도 안산시 상록구 성포동,https://m.bunjang.co.kr/products/166140833?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
38,갤럭시워치3 판매합니다! 불루투스 모델 45mm,"150,000",0,35,"21년 구매하고  모셔만둔워치3워치4  구매후 사용하지않아 저렴히내놓 습니다 상태 최상 케이스끼우고사용하여 잔기스없으며 보호필름 사용중입니다 중고물품관계로 딴지사절 사진요청시 보내드립니다
가격은십오만 네고는정중히사절합니다 배송비는 판매자부담이며 구매후환불어렵습니다 급한매아닙니다 신중히고려하시고구매하세요
참고로박스는없습니다..,
문의주세요 스트랩2종 서비스로드립니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/183537924?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
39,갤럭시 워치 s3프론티어 삼성페이 기본으로 탑재된 상품!,"55,000",3,120,"하차없고 상태좋아여 작동잘하고
직거래만해여 정자동에서! 
기스는 액정에 없고 액정은 깨짐 기스 없어여!
돈이 필요해서.. 가격내렸어요ㅠ",웨어러블(워치),경기도 수원시 장안구 정자1동,https://m.bunjang.co.kr/products/191827647?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
40,갤럭시워치3 41mm,"90,000",11,251,"충전기까지 풀박 풀구성 9만원
이번주 교육 수료라 금요일 오후부터 직거래, 택배거래 가능합니다. 천천히 생각해보시고 연락주세요",웨어러블(워치),서울특별시 강서구 화곡제1동,https://m.bunjang.co.kr/products/190168952?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
41,갤럭시워치액티브2 44mm 골프에디션,"170,000",4,406,"갤럭시워치 액티브2 44mm 골프에디션입니다
사진 보시다시피 하자 아예없구요
골프에디션이라 골프치실때 쓰는기능 있습니다
직거래 위례신도시 내에서만 합니다
구성품은 다있지만 충전기가 고장나서 
삼성닷컴에서 따로 구매하셔야합니다
",웨어러블(워치),전국,https://m.bunjang.co.kr/products/188882610?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
42,갤럭시 워치 4 실버 40mm 판매합니다!,"190,000",2,14,"제조년월일 202201이고 저는 2월 15일에 사서 지금까지 다섯번 착용했습니다! 
상태는 사진으로 보는거처럼 매우 좋고 기스 아예없습니다! 
쿨거래시 십팔만원 가능합니다! 
구성품으로는 하얀실리콘스트랩, 투명 케이스, 박스, 정품충전기입니다. 
최대한 직거래 원합니다",웨어러블(워치),경기도 이천시 부발읍,https://m.bunjang.co.kr/products/191731730?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
43,갤럭시 워치4 40mm 핑크골드,"170,000",0,7,"갤럭시 워치4 판매 합니다
6월 초에 구매해서 그냥 새거 라고 보시면 됩니다
스트랩도 다 드려요!
배송비 3000원
직거래는 저녁 8시 이후 강남역 잠실역에서 가능",웨어러블(워치),전국,https://m.bunjang.co.kr/products/191763158?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
44,갤럭시워치4 gps,"200,000",2,280,"10월달쯤에 배송도착했고 갤럭시 폴드3사면서 사은품으로받았습니다 갤럭시워치 상자가없어서 가격을 조금내렸습니다 줄은 자석 줄로 바꿨고 기본줄도있습니다 케이스 씌어져있고 하자x 생활잔기스는 손목에착용하는쪽 안쪽에 아주 살짝있습니다 이외에는 기스 없습니당 
*에눌 안받습니다
*직거래 가능합니당 
*택배비 따로 주셔야합니다
",웨어러블(워치),전국,https://m.bunjang.co.kr/products/169362675?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
45,갤럭시워치4 40mm 블랙 미개봉 팝니다,"180,000",1,18,미개봉 갤워치4 팝니다. 네고 어느정도 가능하고 추가 사진 원하시면 찍어드립니다. 편하게 문의주세요!,웨어러블(워치),부산광역시 남구 용호제2동,https://m.bunjang.co.kr/products/191733286?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
46,S급 갤럭시워치4 40MM 0340 부산 휴대폰이용소,"150,000",0,35,"😀필독

사진, 게시글 꼭 확인해주세요!

사진의 빛은 조명 불빛입니다!


😐상품설명

❣ 모델명 : 갤럭시워치4
❣ 용량 : 16GB
❣ 색상 : 로즈골드
❣ 구성 : 기기단품(충전기X)
❣ 기능 : 모든 기능 정상
❣ 잔상 : X
❣ 상태 : S(사진과 동일합니다)
❣ 금액 : 150,000
❣ 택배 : 가능


💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥


L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다

직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능

* 오후 5시 전 입금 건 당일 택배 발송 *

🎈 월~토 

모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다

★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★

* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞",스마트폰,부산광역시 수영구 광안제1동,https://m.bunjang.co.kr/products/191708451?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
47,갤럭시워치 3 45mm + 스트랩메탈 새것 / 에어팟프로교환가능,"180,000",7,568,"예전에 21울트라 폰사면서 같이사놓고 
몇번 만지다가 박스넣어놓고 쭉 안썼습니다 ㅜ
메탈스트랩도 당시 별도로 비싸게산거같은데 이건
뜯어보기만하고 한번도 안썻어요 
기억은 잘 안나는데 고무? 같은 스트랩도 같이넣어놨네요 ! 이것두 미사용입니다
워치는 자급제 블루투스 와이파이용 
8gb입니다 
놔두기 아까워서 올려보아요 
에어팟프로 교 가능",웨어러블(워치),경기도 군포시 금정동,https://m.bunjang.co.kr/products/180908746?q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
